Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Acquired by,Acquired by URL,Operating Status,Website,Number of Employees,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Number of Funding Rounds,Top 5 Investors
Campana Group,https://www.crunchbase.com/organization/campana-group,"Automotive, Transportation","Singapore, Central Region, Singapore",Campana Group is a Myanmar's first independent provider of competitive wholesale international transport and IP transit services.,40000000,USD,40000000,Private,,,Active,http://www.campanaworks.com,101-250,40000000,USD,40000000,Series B,1,Mitsui & Co
Zerowaste Asia (ZA),https://www.crunchbase.com/organization/zerowaste-asia-za,"Consulting, Waste Management","Singapore, Central Region, Singapore",Zerowaste Asia (ZA) is an environmental solutions firm.,5000000,SGD,3687859,Private,,,Active,https://www.zerowasteasia.com/,11-50,5000000,SGD,3687859,Corporate Round,1,KEPPEL Seghers
Ascenz,https://www.crunchbase.com/organization/ascenz,"Analytics, Automotive, Fuel, Information Technology, Shipping, Transportation","Singapore, Central Region, Singapore",Ascenz provides remote fuel consumption and bunkering monitoring system for shipping companies.,3589000,SGD,2857010,Private,Gaztransport & Technigaz,https://www.crunchbase.com/organization/gaztransport-technigaz,Active,http://ascenz.com,11-50,3000000,SGD,2374584,Series A,2,"Red Dot Ventures, Green Marine Capital"
PIVOT Fintech,https://www.crunchbase.com/organization/pivot-fintech,"FinTech, Insurance, Machine Learning","Singapore, Central Region, Singapore",PIVOT Fintech is a transparent digital investment management system based on the fundamentals of Markowitz’s Modern Portfolio Theory.,2000000,USD,2000000,Private,,,Active,http://www.pivotfintech.com,251-500,2000000,USD,2000000,Seed,1,
Nearcircles,https://www.crunchbase.com/organization/nearcircles,"Communities, Mobile Apps, Social","Singapore, Central Region, Singapore",Nearcircles is a messaging app that allows residents living in the same neighborhood to engage in community-related discussions.,1000000,USD,1000000,Private,,,Active,http://www.nearcircles.com/,1-10,1000000,USD,1000000,Seed,2,"Apple Seed, IDN Financials"
Nova Satra Dx,https://www.crunchbase.com/organization/nova-satra-dx,"Genetics, Health Diagnostics, Medical","Singapore, Central Region, Singapore",Nova Satra Dx is a molecular diagnostics company.,2500000,USD,2500000,Private,,,Active,http://www.novasatra.com,11-50,2000000,USD,2000000,Seed,2,"Genting Berhad, Kane Black, Ivanna Salehudin"
Thesocialdataco (Yogofi),https://www.crunchbase.com/organization/thesocialdataco-yogofi,"Big Data, Internet, Telecommunications","Singapore, Central Region, Singapore","International data service provider across more than 100 countries for business, social and wholesale travelers",500000,USD,500000,Private,TravelWiFi,https://www.crunchbase.com/organization/dhi-telecom-group,Active,https://www.yogofi.com/,11-50,500000,USD,500000,Seed,1,
Y Digital Group Asia Pte Ltd,https://www.crunchbase.com/organization/ydigital-asia,"Analytics, Big Data, Consulting","Singapore, Central Region, Singapore","Ydigital Asia are a data driven, digital performance consultancy.",500000,USD,500000,Private,,,Active,http://ydigital.asia,11-50,500000,USD,500000,Seed,1,"Mountain Partners, Kejora Ventures"
Ink Labs Foundation,https://www.crunchbase.com/organization/ink,"Blockchain, Information Services, Information Technology","Singapore, Central Region, Singapore",Ink Labs Foundation is a blockchain based ledger where artists and content creators can register works and generate businesses.,1000000,USD,1000000,Private,,,Active,https://ink.plus/,11-50,1000000,USD,1000000,Initial Coin Offering,1,Node Capital
SweetEscape,https://www.crunchbase.com/organization/sweetescape,"Apps, Artificial Intelligence, Developer Platform, Photography","Singapore, Central Region, Singapore",A global AI driven photography platform with tens of thousands of photographers that offers photoshoots for consumers and businesses.,7000000,USD,7000000,Private,,,Active,https://www.sweetescape.com/en,101-250,6000000,USD,6000000,Series A,2,"BEENEXT, East Ventures, Openspace Ventures, Burda Principal Investments, Jungle Ventures"
SPH Reit,https://www.crunchbase.com/organization/sph-reit,Real Estate,"Singapore, Central Region, Singapore",SPH Reit aims to be a premier retail real estate investment trust with a portfolio of quality income-producing retail properties.,164500000,SGD,120567141,Public,,,Active,http://www.sphreit.com.sg,1-10,164500000,SGD,120567141,Post-IPO Equity,1,
Novosol,https://www.crunchbase.com/organization/novosol,Telecommunications,"Singapore, Central Region, Singapore",Novosol is a Mobile Media Company.,7000000,USD,7000000,Private,,,Active,http://www.novosol.biz/,11-50,7000000,USD,7000000,Series A,1,
Cloudaron,https://www.crunchbase.com/organization/clouddesk,Mobile,"Singapore, Central Region, Singapore",Enterprise cloud solutions company,500000,USD,500000,Private,,,Active,http://clouddesk.io/,11-50,500000,USD,500000,Seed,1,"IncuVest, National Research Foundation"
Unicon,https://www.crunchbase.com/organization/unicon,"Apps, Gaming, Mobile","Singapore, Central Region, Singapore","Unicon is a Singapore-based startup that offers Fello, a platform for testing and analyzing features for mobile gaming app functions.",1000000,USD,1000000,Private,,,Active,http://fello.net,1-10,1000000,USD,1000000,Seed,1,JAFCO Asia
Hepmil Group,https://www.crunchbase.com/organization/hepmil-group,"Advertising, Marketing","Singapore, Central Region, Singapore",Hepmil Media Group is a humorous content provider.,968000,USD,968000,Private,,,Active,http://hepmil.com/,51-100,968000,USD,968000,Seed,1,
Clozette.co,https://www.crunchbase.com/organization/clozette-co,"E-Commerce, Fashion, Shopping, Social Media","Singapore, Central Region, Singapore",Clozette.co is a social networking portal that connects urban and upwardly mobile women who have a mutual interest in fashion.,16400000,USD,16400000,Private,,,Active,http://www.clozette.co,1-10,10000000,USD,10000000,Series C,5,"Walden International, Cool Japan Fund, Phillip Private Equity"
PetMate,https://www.crunchbase.com/organization/petmate,"Apps, Logistics, Pet, Transportation","Singapore, Central Region, Singapore",PetMate’s urban logistics & on-demand transport platform connects you with local drivers who help to transport your beloved pets.,1000000,SGD,710695,Private,,,Closed,https://www.petmate.me,1-10,1000000,SGD,710695,Angel,1,
Plunify,https://www.crunchbase.com/organization/plunify,"Big Data, Cloud Computing, Field-Programmable Gate Array (FPGA), Machine Learning, Semiconductor, Software","Singapore, Central Region, Singapore",Plunify is an information technology company that offers a cloud-based platform it focuses on developing FPGA chip design.,2000000,USD,2000000,Private,,,Active,https://www.plunify.com,11-50,2000000,USD,2000000,Series A,3,"National Research Foundation, Get2Volume, Kumpulan Modal Perdana"
Prism,https://www.crunchbase.com/organization/prism-a899,"Health Care, Home Health Care, Lifestyle, Medical Device, Wellness","Singapore, Central Region, Singapore",Prism develops innovative solutions to empower everyone in their health journeys and accelerate the transition to preventative healthcare,700000,USD,700000,Private,,,Active,https://www.prismprotocol.com/,1-10,700000,USD,700000,Seed,1,
Flocations,https://www.crunchbase.com/organization/flocations,"Big Data, Travel","Singapore, Central Region, Singapore",Flocations is an online travel discovery tool that helps users discover travel packages.,623500,USD,623500,Private,Venture Republic,https://www.crunchbase.com/organization/venture-republic,Active,http://www.flocations.com,1-10,600000,USD,600000,Seed,3,"JFDI.Asia, Singtel Innov8, TNF Ventures, Benjamin Ball"
Bthub,https://www.crunchbase.com/organization/bthub,"Blockchain, Cryptocurrency","Singapore, Central Region, Singapore",Bthub provides liquidity aggregation technical service for small and medium-sized exchanges in the digital asset industry.,1442877,USD,1442877,Private,,,Active,https://www.bthub.com/,1-10,1442877,USD,1442877,Angel,1,"Hundsun Technologies, Source Code Capital, Albatross Venture"
GoWithMi,https://www.crunchbase.com/organization/gowithmi,"Blockchain, Mapping Services, Navigation","Singapore, Central Region, Singapore","Global complete Decentralized Location Based Service infrastructure supporting all blockchain platforms, decentralized business and map apps",1000000,USD,1000000,Private,,,Active,https://www.gowithmi.com,11-50,1000000,USD,1000000,Angel,2,Consensus Lab
Medad Technologies,https://www.crunchbase.com/organization/medad-technologies,Water Purification,"Singapore, Central Region, Singapore",Medad provides silica-based adsorption desalination system driven by a low-temperature heat source.,3500000,USD,3500000,Private,,,Active,https://www.medad-tech.com/,1-10,3500000,USD,3500000,Seed,1,"KAUST Innovation Fund, King Abdulaziz City for Science and Technology ( KACST), TAQNIA"
iTrans Technologies,https://www.crunchbase.com/organization/itrans-technologies,"Automotive, Autonomous Vehicles, Information Technology","Singapore, Central Region, Singapore",iTrans Technologies is a technology company dedicated to the telematics and motor insurance analytics market.,2100000,USD,2100000,Private,,,Active,http://www.itransglobal.com,11-50,2000000,USD,2000000,Series A,2,
MusicLife Foundation,https://www.crunchbase.com/organization/musiclife,Music,"Singapore, Central Region, Singapore",MusicLife Foundation is a blockchain-based music ecosystem.,5000000,USD,5000000,Private,,,Active,http://www.musiclife.io/,1-10,5000000,USD,5000000,Series A,1,Metropolis VC
Packet Greens,https://www.crunchbase.com/organization/packet-greens,"Agriculture, Farming, Hydroponics","Singapore, Central Region, Singapore","Packet Greens, a Singapore-based startup which couples hydroponics technology",1500000,USD,1500000,Private,,,Active,http://www.packetgreens.com/,11-50,1500000,USD,1500000,Seed,1,"TRIREC, Spring SEEDS Capital"
The Event Ecosystem,https://www.crunchbase.com/organization/the-event-ecosystem,"Enterprise Software, Media and Entertainment, SaaS, Software","Singapore, Central Region, Singapore","The Event Ecosystem is a P2P SaaS solution, that enables event professionals to source, book and manage all types of event suppliers.",1355000,AUD,940444,Private,,,Active,https://theeventecosystem.com,1-10,1055000,AUD,727686,Seed,2,
FreshOffice,https://www.crunchbase.com/organization/freshoffice,"Business Intelligence, Cloud Data Services, CRM, Enterprise Software, SaaS, Software","Singapore, Central Region, Singapore",FreshOffice offers cloud-based business management software.,1200000,USD,1200000,Private,,,Active,http://freshoffice.sg,51-100,1200000,USD,1200000,Series A,1,Imperious Group VC
WalletCurve,https://www.crunchbase.com/organization/walletcurve,"Cryptocurrency, Finance, Internet","Singapore, Central Region, Singapore",WalletCurve is the ideal saving solution for both long-term and short-term savers.,3600000,USD,3600000,Private,,,Active,https://walletcurve.com/,1-10,3600000,USD,3600000,Angel,1,Huobi Capital
Asia Deal Group,https://www.crunchbase.com/organization/asia-deal-group,"E-Commerce, Incubators, Subscription Service, Venture Capital","Singapore, Central Region, Singapore",Asia Deal Group develops digital ventures in South East Asia,2720000,USD,2720000,Private,,,Active,http://www.asiadealgroup.com,51-100,1800000,USD,1800000,Series A,3,Pascal Chevalier
NEVULA,https://www.crunchbase.com/organization/nevula,Software,"Singapore, Central Region, Singapore",NEVULA  is a utility token used at casinos.,53000000,USD,53000000,Private,,,Active,https://nevula.tech/,1-10,53000000,USD,53000000,Initial Coin Offering,1,
Hyflux,https://www.crunchbase.com/organization/hyflux,"Agriculture, Information Technology","Singapore, Central Region, Singapore",Hyflux Ltd is a fully-integrated water solutions company and among the top global desalination plant providers.,23000000,SGD,16932594,Public,,,Active,http://www.hyflux.com/,501-1000,23000000,SGD,16932594,Post-IPO Equity,1,Mitsubishi Heavy Industries
AGV Group,https://www.crunchbase.com/organization/agv-group,,"Singapore, Central Region, Singapore",AGV Group is dedicated to providing the most comprehensive and up-to-date resources.,5100000,SGD,3654538,Public,,,Active,https://agvgroup.listedcompany.com/,101-250,5100000,SGD,3654538,Post-IPO Equity,1,
coworking spaces,https://www.crunchbase.com/organization/coworking-spaces,"Commercial Real Estate, Coworking","Singapore, Central Region, Singapore",Coworking spaces are starting up everywhere in Southeast Asia.,1100000,USD,1100000,Private,,,Active,http://coworkingsingapore.com,1-10,1100000,USD,1100000,Series A,1,"500 Startups, Golden Gate, Ardent Capital"
First Meta,https://www.crunchbase.com/organization/first-meta,"MMO Games, Virtual Currency","Singapore, Central Region, Singapore",First Meta offers virtual currency services for online games and virtual worlds.,501000,USD,501000,Private,,,Active,http://firstmeta.com/,11-50,466000,USD,466000,Series A,2,"Plug N Play, Media Development Authority"
Travelstop,https://www.crunchbase.com/organization/travelstop,"Business Travel, Enterprise Software, Internet, SaaS, Software, Travel","Singapore, Central Region, Singapore",Travelstop is a revolutionary platform aimed at modernizing and simplifying business travel.,4200000,USD,4200000,Private,,,Active,https://www.travelstop.com/,11-50,3000000,USD,3000000,Seed,2,"Accel, SeedPlus, STRIVE, David Ko, Dan Lynn"
3DInfra,https://www.crunchbase.com/organization/3dinfra,"3D Printing, 3D Technology","Singapore, Central Region, Singapore",3DInfra is a metal additive design and printing startup.,1000000,USD,1000000,Private,,,Active,,1-10,1000000,USD,1000000,Seed,1,"Seeds Capital, M Venture Partners"
